path,ext,size_bytes,exec,git_tracked,git_status,lfs_pointer,last_commit,last_author,legacy_should_remove
.aider.chat.history.md,.md,455424,y,y,,,2025-10-10T20:00:07+08:00,Your Name,
.aider.conf.yml,.yml,315,y,y,,,2025-11-02T17:55:12+08:00,Your Name,
.aider.input.history,.history,76629,y,y,,,2025-10-10T19:36:23+08:00,Your Name,
.aiderignore,,139,y,,,,,,
.coverage,,53248,y,,,,,,
.env,,213,y,,,,,,
.env.example,.example,3081,y,y,,,2025-11-02T18:05:35+08:00,Your Name,
.gitattributes,,296,y,y,,,2025-11-03T08:00:12+08:00,Your Name,
.gitignore,,2355,y,y,,,2025-11-02T22:45:50+08:00,Your Name,
.gitignore.bak.2025-10-11-150758,.2025-10-11-150758,24,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
.pre-commit-config.yaml,.yaml,236,y,y,,,2025-10-10T20:53:46+08:00,Your Name,
.ruffignore,,8,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
0a_merge_json.py,.py,1642,y,y,,,2025-11-02T23:39:10+08:00,Your Name,
1a.before.tex,.tex,9352,y,,,,2025-10-11T17:35:46+08:00,Your Name,
1b.after.tex,.tex,9355,y,,,,2025-10-11T17:35:46+08:00,Your Name,
add_heva_clean_targets.sh,.sh,1457,y,y,,,2025-11-03T13:32:03+08:00,Your Name,
add_heva_quick_help.sh,.sh,1820,y,y,,,2025-11-03T13:32:05+08:00,Your Name,
AIDER_CONTEXT_AGENTB.md,.md,4067,y,y,,,2025-11-03T13:04:25+08:00,Your Name,
Article_Storage.Article_Collection_2025.json,.json,82615801,y,,,,,,
capstone.code-workspace,.code-workspace,60,y,y,,,2025-10-08T18:48:32+08:00,Your Name,
checkpoint.json,.json,21,y,y,,,2025-10-08T18:48:32+08:00,Your Name,
combined.json,.json,311,y,y,,y,2025-11-02T22:36:58+08:00,Your Name,
conftest.py,.py,404,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
cybersage_deploy_bundle.zip,.zip,1337,y,,,,,,
dir_listing.txt,.txt,7958,y,,,,,,
docker-compose.yml,.yml,972,y,y,,,2025-11-02T23:21:25+08:00,Your Name,
Dockerfile,,944,y,y,,,2025-11-02T23:39:10+08:00,Your Name,
export_agentb.sh,.sh,2623,y,y,,,2025-11-02T22:36:58+08:00,Your Name,
how_to_run.txt,.txt,811,y,y,,,2025-11-02T18:05:35+08:00,Your Name,
install.cmd,.cmd,6291,y,y,,,2025-11-02T23:39:10+08:00,Your Name,
IS06_Capstone_Slides_2425.pdf,.pdf,351572,y,,,,,,
lands.csv,.csv,4889,y,,,,2025-10-11T17:35:46+08:00,Your Name,
latest_recommendations.txt,.txt,7860,y,,,,2025-10-11T17:35:46+08:00,Your Name,
Makefile,,6578,y,y,M,,2025-11-03T13:32:05+08:00,Your Name,
Makefile.addon,.addon,264,y,,??,,,,
Makefile.bak.heva_quick_help,.heva_quick_help,5935,y,,,,,,
Makefile.bak.heva_quick_help_norm,.heva_quick_help_norm,6293,y,,,,,,
ner_training.txt,.txt,76573428,y,y,,y,2025-11-02T21:20:53+08:00,Your Name,
ner_vector_output.csv,.csv,495429,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
nohup.out,.out,0,y,y,,,2025-11-02T18:20:53+08:00,Your Name,
one.jsonl,.jsonl,163,y,y,,,2025-10-10T20:00:07+08:00,Your Name,
original_combined.json,.json,14591,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
Paste-Ready Mega-Prompt for 13-Oct.txt,.txt,12056,y,,,,2025-10-11T17:35:46+08:00,Your Name,
podman-compose.yml,.yml,316,y,y,,,2025-11-02T22:54:12+08:00,Your Name,
prompts_capstone.txt,.txt,4364,y,y,,,2025-11-02T23:56:34+08:00,Your Name,
PROMPT_AGENT_B.md,.md,867,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
PROMPT_ITERATION.md,.md,522,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
pyproject.toml,.toml,386,y,y,,,2025-11-02T22:54:16+08:00,Your Name,
pytest.ini,.ini,106,y,y,,,2025-10-10T22:43:01+08:00,Your Name,
Raw_Crawled_Fixed.json,.json,199748,y,y,,,2025-11-02T23:56:34+08:00,Your Name,
README.md,.md,9739,y,y,,,2025-11-03T13:17:00+08:00,Your Name,
requirements.txt,.txt,99,y,y,,,2025-11-02T23:39:10+08:00,Your Name,
sample_cve.json,.json,0,y,y,,,2025-10-10T20:00:07+08:00,Your Name,
scan_usage.py,.py,6708,y,,??,,,,
train_ner_model.py,.py,3530,y,y,,,2025-10-10T20:00:07+08:00,Your Name,
wsl_safe_heva_checks.sh,.sh,1035,y,y,,,2025-11-03T13:31:46+08:00,Your Name,
wsl_safe_heva_combined_check.sh,.sh,3836,y,y,,,2025-11-03T13:31:46+08:00,Your Name,
.github/workflows/ci.yml,.yml,1337,y,y,,,2025-11-02T18:05:35+08:00,Your Name,
.qdrant/.qdrant_fs_check,,36864,y,y,,,2025-10-11T17:21:00+08:00,Your Name,
.qdrant/raft_state.json,.json,355,y,y,,,2025-10-11T17:21:00+08:00,Your Name,
.qdrant/aliases/data.json,.json,2,y,y,,,2025-10-11T17:21:00+08:00,Your Name,
.ruff_cache/.gitignore,,35,y,,,,,,
.ruff_cache/CACHEDIR.TAG,.tag,43,y,,,,,,
.ruff_cache/0.14.0/1079401343857846736,,149,y,,,,,,
.ruff_cache/0.14.0/10878667968106447924,,86,y,,,,,,
.ruff_cache/0.14.0/11421296991686295050,,152,y,,,,,,
.ruff_cache/0.14.0/12276879073998191749,,154,y,,,,,,
.ruff_cache/0.14.0/12664143725863930821,,217,y,,,,,,
.ruff_cache/0.14.0/14045940377608906606,,149,y,,,,,,
.ruff_cache/0.14.0/16262196809579316300,,112,y,,,,,,
.ruff_cache/0.14.0/16403607121310343362,,154,y,,,,,,
.ruff_cache/0.14.0/17225101766077644491,,217,y,,,,,,
.ruff_cache/0.14.0/17586192373130783203,,86,y,,,,,,
.ruff_cache/0.14.0/2446331189828053876,,404,y,,,,,,
.ruff_cache/0.14.0/3604901672601101352,,112,y,,,,,,
.ruff_cache/0.14.0/3968307275678967753,,145,y,,,,,,
.ruff_cache/0.14.0/5125949633167635432,,145,y,,,,,,
.ruff_cache/0.14.0/6264833167469471293,,141,y,,,,,,
.ruff_cache/0.14.0/7545717975041254885,,152,y,,,,,,
.ruff_cache/0.14.0/7988781826871883532,,141,y,,,,,,
.ruff_cache/0.14.0/8296299964257207894,,404,y,,,,,,
.ruff_cache/0.14.0/8713917679115272379,,112,y,,,,,,
.ruff_cache/0.6.9/10021384398977624532,,99,y,,,,,,
.ruff_cache/0.6.9/10022899461368651831,,271,y,,,,,,
.ruff_cache/0.6.9/10525437055606331527,,181,y,,,,,,
.ruff_cache/0.6.9/10658587942128859482,,188,y,,,,,,
.ruff_cache/0.6.9/10979110933209815322,,263,y,,,,,,
.ruff_cache/0.6.9/11275762975508690939,,185,y,,,,,,
.ruff_cache/0.6.9/11856224500251429111,,153,y,,,,,,
.ruff_cache/0.6.9/12402544239642520570,,185,y,,,,,,
.ruff_cache/0.6.9/1267105744041744754,,160,y,,,,,,
.ruff_cache/0.6.9/1363462902584901874,,164,y,,,,,,
.ruff_cache/0.6.9/14239473378102804043,,463,y,,,,,,
.ruff_cache/0.6.9/14730562510044671125,,234,y,,,,,,
.ruff_cache/0.6.9/15348346673009179264,,181,y,,,,,,
.ruff_cache/0.6.9/15418690522594654370,,188,y,,,,,,
.ruff_cache/0.6.9/16868439526108360590,,170,y,,,,,,
.ruff_cache/0.6.9/17218185589748986171,,160,y,,,,,,
.ruff_cache/0.6.9/17635292602759949727,,263,y,,,,,,
.ruff_cache/0.6.9/17768387784638220584,,122,y,,,,,,
.ruff_cache/0.6.9/17931345102783311058,,578,y,,,,,,
.ruff_cache/0.6.9/18371791002075661323,,105,y,,,,,,
.ruff_cache/0.6.9/2082470383280071033,,185,y,,,,,,
.ruff_cache/0.6.9/3955425935314527014,,297,y,,,,,,
.ruff_cache/0.6.9/4375181361694713994,,183,y,,,,,,
.ruff_cache/0.6.9/4711940868290824710,,616,y,,,,,,
.ruff_cache/0.6.9/4794000630021880311,,171,y,,,,,,
.ruff_cache/0.6.9/5656844270839192640,,177,y,,,,,,
.ruff_cache/0.6.9/577076321080484358,,114,y,,,,,,
.ruff_cache/0.6.9/6990116943912094762,,170,y,,,,,,
.ruff_cache/0.6.9/7313514768812393737,,136,y,,,,,,
.ruff_cache/0.6.9/7452752945257027979,,105,y,,,,,,
agent_b/requirements.txt,.txt,65,y,y,,,2025-11-02T22:54:13+08:00,Your Name,
agent_b/app/main.py,.py,3469,y,y,,,2025-11-02T22:54:13+08:00,Your Name,
api/Dockerfile,,429,y,y,,,2025-11-02T23:39:10+08:00,Your Name,
api/qdrant_client.py,.py,1206,y,y,,,2025-11-02T18:05:35+08:00,Your Name,
api/requirements.txt,.txt,49,y,y,,,2025-10-08T18:48:32+08:00,Your Name,
api/search_api_rich.py,.py,11920,y,y,,,2025-11-02T23:21:25+08:00,Your Name,
api/__init__.py,.py,0,y,y,,,2025-10-11T16:51:22+08:00,Your Name,
app/embeddings.py,.py,1474,y,y,,,2025-11-03T13:20:37+08:00,Your Name,
app/indexer.py,.py,8425,y,y,,,2025-11-03T13:31:46+08:00,Your Name,
app/qdrant_setup.py,.py,724,y,y,,,2025-11-03T13:21:30+08:00,Your Name,
app/qdrant_utils.py,.py,1561,y,y,,,2025-11-03T13:21:08+08:00,Your Name,
app/__init__.py,.py,0,y,y,,,2025-11-03T13:21:30+08:00,Your Name,
capstone_agent_a/.dockerignore,,466,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/.env.example,.example,1123,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/.gitignore,,4562,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/docker-compose.yml,.yml,1602,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/Dockerfile,,797,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/Dockerfile.mcp,.mcp,842,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/Dockerfile.processor,.processor,756,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/DOCKER_ARCHITECTURE.md,.md,6436,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/DOCKER_QUICK_START.md,.md,4316,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/DOCKER_USAGE.md,.md,6195,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/Makefile,,3342,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/out.tt,.tt,39430,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/output.txt,.txt,0,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/pyproject.toml,.toml,2462,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/README.md,.md,10711,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/TESTING.md,.md,6804,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/cli.py,.py,24646,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/config.py,.py,1746,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/dedup.py,.py,6084,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/graph.py,.py,8029,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/logging_conf.py,.py,1109,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_client.py,.py,9332,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/memory.py,.py,9199,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/state.py,.py,7000,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/tool_proxy.py,.py,6986,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/__init__.py,.py,82,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_server/client.py,.py,2055,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_server/schemas.py,.py,5562,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_server/server.py,.py,8537,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_server/transport_stdio.py,.py,2352,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_server/transport_tcp.py,.py,5074,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/mcp_server/__init__.py,.py,36,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agent_repository.py,.py,13927,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/__init__.py,.py,41,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/agentic_orchestrator.py,.py,48470,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/base_agent.py,.py,8336,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/cve_agent.py,.py,21529,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/cyber_agent.py,.py,7200,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/detect_type_agent.py,.py,2070,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/entity_agent.py,.py,9024,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/fetch_agent.py,.py,4938,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/geo_motivation_agent.py,.py,18816,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
capstone_agent_a/app/orchestrator/agents/guardrails_helper.py,.py,4207,y,y,,,2025-11-02T22:54:09+08:00,Your Name,
