path,ref_count_approx,first_hit
.aider.chat.history.md,6,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
.aider.conf.yml,6,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
.aider.input.history,6,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
.aiderignore,3,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
.env,5477,/mnt/c/Users/mike/Downloads/capstone/docker-compose.yml
.env.example,5493,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
.gitattributes,3,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
.gitignore,18,/mnt/c/Users/mike/Downloads/capstone/add_heva_clean_targets.sh
.gitignore.bak.2025-10-11-150758,4,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
.pre-commit-config.yaml,8,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
.ruffignore,4,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
0a_merge_json.py,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/files_inventory.csv
1a.before.tex,6,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
1b.after.tex,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
add_heva_clean_targets.sh,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
add_heva_quick_help.sh,8,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
AIDER_CONTEXT_AGENTB.md,14,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
Article_Storage.Article_Collection_2025.json,8,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
capstone.code-workspace,387,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
checkpoint.json,145,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
combined.json,1054,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
conftest.py,14,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
dir_listing.txt,58,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
docker-compose.yml,92,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
Dockerfile,31,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
export_agentb.sh,36,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
how_to_run.txt,10,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
install.cmd,11291,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
lands.csv,4527,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
latest_recommendations.txt,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
Makefile,48,/mnt/c/Users/mike/Downloads/capstone/README.md
Makefile.addon,51,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
Makefile.bak.heva_quick_help,24,/mnt/c/Users/mike/Downloads/capstone/_inventory/files_inventory.csv
Makefile.bak.heva_quick_help_norm,22,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
ner_training.txt,16,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
ner_vector_output.csv,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
nohup.out,11,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
one.jsonl,69494,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
original_combined.json,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
Paste-Ready Mega-Prompt for 13-Oct.txt,13,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
podman-compose.yml,8,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
prompts_capstone.txt,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
PROMPT_AGENT_B.md,8,/mnt/c/Users/mike/Downloads/capstone/dir_listing.txt
PROMPT_ITERATION.md,8,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary.csv
