path,ref_count_approx,first_hit
.env.example,111,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
.gitattributes,5,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
.github/workflows/ci.yml,85683,/mnt/c/Users/mike/Downloads/capstone/add_heva_quick_help.sh
.gitignore,17,/mnt/c/Users/mike/Downloads/capstone/add_heva_clean_targets.sh
.gitignore.bak.2025-10-11-150758,0,
.pre-commit-config.yaml,6,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
.qdrant/.qdrant_fs_check,9,/mnt/c/Users/mike/Downloads/capstone/_tools_audit_build_list.py
.qdrant/aliases/data.json,36152,/mnt/c/Users/mike/Downloads/capstone/prompts_capstone.txt
.qdrant/raft_state.json,8,/mnt/c/Users/mike/Downloads/capstone/_inventory/to_remove.csv
.ruffignore,5,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
0a_merge_json.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
AIDER_CONTEXT_AGENTB.md,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
Dockerfile,18,/mnt/c/Users/mike/Downloads/capstone/docker-compose.yml
Makefile,57,/mnt/c/Users/mike/Downloads/capstone/audits.mk
Makefile.audit.addon,0,
Makefile.audit.addon.tab@@,0,
Makefile.refs_fast.addon,0,
PROMPT_AGENT_B.md,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
PROMPT_ITERATION.md,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
README.md,52,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
Raw_Crawled_Fixed.json,6,/mnt/c/Users/mike/Downloads/capstone/0a_merge_json.py
_inventory/files_inventory.csv,10,/mnt/c/Users/mike/Downloads/capstone/_tools_audit_build_list.py
_inventory/refs_fast_patterns.txt,0,
_inventory/refs_summary.csv,13,/mnt/c/Users/mike/Downloads/capstone/_tools_audit_build_list.py
_inventory/refs_summary_fast.csv,0,
_inventory/to_remove.csv,8,/mnt/c/Users/mike/Downloads/capstone/Makefile
_tools/prune_from_csv.sh,4,/mnt/c/Users/mike/Downloads/capstone/_tools/prune_from_csv.sh
add_heva_clean_targets.sh,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
add_heva_quick_help.sh,6,/mnt/c/Users/mike/Downloads/capstone/add_heva_quick_help.sh
agent_b/app/main.py,14173,/mnt/c/Users/mike/Downloads/capstone/audits.mk
agent_b/requirements.txt,1603,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
api/Dockerfile,18,/mnt/c/Users/mike/Downloads/capstone/docker-compose.yml
api/__init__.py,62,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/TESTING.md
api/qdrant_client.py,27,/mnt/c/Users/mike/Downloads/capstone/app/qdrant_setup.py
api/requirements.txt,1603,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
api/search_api_rich.py,20,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
app/__init__.py,62,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/TESTING.md
app/embeddings.py,17,/mnt/c/Users/mike/Downloads/capstone/app/qdrant_setup.py
app/indexer.py,10,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
app/qdrant_setup.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
app/qdrant_utils.py,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
capstone.code-workspace,347,/mnt/c/Users/mike/Downloads/capstone/audits.mk
capstone_agent_a/.dockerignore,1,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_fast_patterns.txt
capstone_agent_a/.env.example,111,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
capstone_agent_a/.gitignore,17,/mnt/c/Users/mike/Downloads/capstone/add_heva_clean_targets.sh
capstone_agent_a/DOCKER_ARCHITECTURE.md,3,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/DOCKER_QUICK_START.md
capstone_agent_a/DOCKER_QUICK_START.md,2,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_fast_patterns.txt
capstone_agent_a/DOCKER_USAGE.md,3,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/DOCKER_QUICK_START.md
capstone_agent_a/Dockerfile,18,/mnt/c/Users/mike/Downloads/capstone/docker-compose.yml
capstone_agent_a/Dockerfile.mcp,18,/mnt/c/Users/mike/Downloads/capstone/docker-compose.yml
capstone_agent_a/Dockerfile.processor,18,/mnt/c/Users/mike/Downloads/capstone/docker-compose.yml
capstone_agent_a/Makefile,57,/mnt/c/Users/mike/Downloads/capstone/audits.mk
capstone_agent_a/README.md,52,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
